concentration,bloc_correlation,bias_std,mean_expertise,panel_size,n_items,seed,n_trios,eie_error,mv_error,mean_abs_pair_corr
0.2,0.9,0.1,0.75,6,300,20,6,0.16584649865742065,0.14833019265278585,0.1240248971151287
0.2,0.9,0.1,0.75,6,300,21,6,0.173986342573072,0.15282815969091698,0.046880709681644726
0.2,0.9,0.1,0.75,6,300,22,6,0.11980922380573315,0.11705605170742084,0.015397474170846746
0.2,0.9,0.1,0.75,6,300,23,5,0.10877321612813629,0.09092782327185323,0.11523349280132665
0.2,0.9,0.3,0.65,6,300,0,1,0.24855793380005028,0.26745340715177135,0.12865911989795917
0.2,0.9,0.3,0.65,6,300,1,6,0.11112062711956039,0.11624468700690203,0.012697181165837748
0.2,0.9,0.3,0.65,6,300,2,1,0.32324944352611157,0.3288372488992617,0.15381239807971706
0.2,0.9,0.3,0.65,6,300,3,6,0.2148534829718937,0.20062298058304054,0.15246557758970428
0.2,0.9,0.3,0.65,6,300,4,6,0.1844219268895394,0.13898972581542804,0.0169477455324747
0.2,0.9,0.3,0.65,6,300,5,1,0.2333523072247691,0.24688244974203877,0.13299721866696737
0.2,0.9,0.3,0.65,6,300,6,0,nan,nan,nan
0.2,0.9,0.3,0.65,6,300,7,6,0.1978938717660604,0.14919346406486436,0.052079645911450034
0.2,0.9,0.3,0.65,6,300,8,2,0.35602855948777423,0.3513240303803259,0.17438575583489616
0.2,0.9,0.3,0.65,6,300,9,2,0.20894875853293723,0.2683932636829925,0.010557866826424669
0.2,0.9,0.3,0.65,6,300,10,6,0.2158837422407293,0.18710148417998684,0.01748406646366436
0.2,0.9,0.3,0.65,6,300,11,3,0.24112673889785996,0.135506530610168,0.012239446551086131
0.2,0.9,0.3,0.65,6,300,12,4,0.16326595440891947,0.18220052408656615,0.14616297697499023
0.2,0.9,0.3,0.65,6,300,13,3,0.3816209890745908,0.20243306501967775,0.023196584990738178
0.2,0.9,0.3,0.65,6,300,14,6,0.22570103280200116,0.17160155827998877,0.13364566470044284
0.2,0.9,0.3,0.65,6,300,15,6,0.2554472452133945,0.17047274408217242,0.013923464693075198
0.2,0.9,0.3,0.65,6,300,16,1,0.30555195354810905,0.19741721283488886,0.01684507379627708
0.2,0.9,0.3,0.65,6,300,17,3,0.26216072177933586,0.18634935096749414,0.13472592592592592
0.2,0.9,0.3,0.65,6,300,18,6,0.21007504295142096,0.19988857942107172,0.05984147285229016
0.2,0.9,0.3,0.65,6,300,19,3,0.215543515592036,0.18756297015773737,0.051137674688177696
0.2,0.9,0.3,0.65,6,300,20,4,0.37356905184489475,0.18019067178862977,0.15845113053923274
0.2,0.9,0.3,0.65,6,300,21,3,0.29001240083653057,0.2521656675027097,0.14628470904595972
0.2,0.9,0.3,0.65,6,300,22,4,0.26044475236473164,0.22162960678080346,0.05755543517519917
0.2,0.9,0.3,0.65,6,300,23,1,0.27646281611892515,0.29218999625557796,0.14227402163865263
0.2,0.9,0.3,0.75,6,300,0,6,0.16874218107858888,0.17336582351944266,0.009606584821428572
0.2,0.9,0.3,0.75,6,300,1,6,0.13354566688564326,0.11513973269386694,0.009687488697119578
0.2,0.9,0.3,0.75,6,300,2,6,0.19457026031468802,0.17685054587584112,0.1336558730689444
0.2,0.9,0.3,0.75,6,300,3,6,0.13282946789781594,0.1352850523994895,0.007018320992726402
0.2,0.9,0.3,0.75,6,300,4,6,0.10344284740522497,0.07638888426862388,0.012861922348874759
0.2,0.9,0.3,0.75,6,300,5,6,0.1118383154298178,0.1231345284680825,0.10480649714729108
0.2,0.9,0.3,0.75,6,300,6,4,0.14000658867564672,0.13580958253985465,0.008599315171355442
0.2,0.9,0.3,0.75,6,300,7,6,0.10873554095041967,0.11150137462366061,0.007074640849766694
0.2,0.9,0.3,0.75,6,300,8,4,0.11625489868681962,0.15937465408078286,0.15110069644686716
0.2,0.9,0.3,0.75,6,300,9,6,0.19171539206023466,0.17295418059092982,0.06059467641635522
0.2,0.9,0.3,0.75,6,300,10,6,0.10944049954486122,0.09354640320137918,0.00821623168823927
0.2,0.9,0.3,0.75,6,300,11,6,0.127362022972958,0.09401960006764004,0.021616403069944057
0.2,0.9,0.3,0.75,6,300,12,6,0.20245035515706575,0.1483435920045883,0.006829858646568044
0.2,0.9,0.3,0.75,6,300,13,3,0.1970944863276488,0.10672209145781462,0.017039331320696325
0.2,0.9,0.3,0.75,6,300,14,6,0.14938074043712116,0.12490826313093166,0.04723968211711393
0.2,0.9,0.3,0.75,6,300,15,6,0.10713362348613924,0.11134544940514646,0.007920680024375652
0.2,0.9,0.3,0.75,6,300,16,6,0.21318947117655448,0.145622970516833,0.011266929106402304
0.2,0.9,0.3,0.75,6,300,17,0,nan,nan,nan
